# Object VO photometry
#
#          FilterID       Wavelength               Obs.Flux              Obs.Error                   Flux                  Error    Point Props     Service         RA (VO)        DEC (VO)               dis (VO)       Obj.Name (VO)    Obs.Date (VO)    Obs.Qua (VO)    Cat.field    dis_2 (VO)    Nobjs 
#             (---)              (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (---)       (---)           (deg)           (deg)                  (deg)               (---)            (---)           (---)        (---)         (deg)    (---) 
#===========================================================================================================================================================================================================================================================================================================
      DENIS/DENIS.I     7862.1015966    6.6058509655519E-14    1.8252640751784E-15    6.6058509655519E-14    1.8252640751784E-15      nofit,bad     denis.I    243.83429300    -32.91806300    0.00013517154034348    J161520.2-325505       1998-06-16               4         Imag           ---        1 
      DENIS/DENIS.J    12210.6027581    4.7938777414001E-14    2.2076622849968E-15    4.7938777414001E-14    2.2076622849968E-15            ---     denis.J    243.83429300    -32.91806300    0.00013517154034348    J161520.2-325505       1998-06-16              ok         Jmag           ---        1 
     DENIS/DENIS.Ks     21465.009653    1.4932118465219E-14    8.2517936123601E-16    1.4932118465219E-14    8.2517936123601E-16            ---    denis.Ks    243.83429300    -32.91806300    0.00013517154034348    J161520.2-325505       1998-06-16              ok         Kmag           ---        1 
