# Object VO photometry
#
#          FilterID    Wavelength               Obs.Flux        Obs.Error                   Flux            Error    Point Props      Service              RA (VO)              DEC (VO)              dis (VO)    Obj.Name (VO)    Obs.Date (VO)    Obs.Qua (VO)           Cat.field    dis_2 (VO)    Nobjs 
#             (---)           (A)          (erg/s/cm2/A)    (erg/s/cm2/A)          (erg/s/cm2/A)    (erg/s/cm2/A)          (---)        (---)                (deg)                 (deg)                 (deg)            (---)            (---)           (---)               (---)         (deg)    (---) 
#===========================================================================================================================================================================================================================================================================================================
       GAIA/GAIA2.G          6230     6.489241052563E-14                0     6.489241052563E-14                0            ---      gaia2.G    243.8342669771133    -32.91818345684177    1.3660378340026E-5              ---              ---             ---     phot_g_mean_mag           ---        1 
     GAIA/GAIA2.Gbp          5050    5.3739861749797E-14                0    5.3739861749797E-14                0            ---    gaia2.Gbp    243.8342669771133    -32.91818345684177    1.3660378340026E-5              ---              ---             ---    phot_bp_mean_mag           ---        1 
     GAIA/GAIA2.Grp          7730    7.2090010582804E-14                0    7.2090010582804E-14                0            ---    gaia2.Grp    243.8342669771133    -32.91818345684177    1.3660378340026E-5              ---              ---             ---    phot_rp_mean_mag           ---        1 
